City,State,Zip Code,Walk Score, Transit Score, Bike Score, Population
Middle River,MD,,35,23,37,"25,191"
Laurel,MD,,53,32,40,"25,115"
North Potomac,MD,,20,24,32,"24,410"
Scaggsville,MD,,25,0,25,"24,333"
Pasadena,MD,,25,0,31,"24,287"
Fort Washington,MD,,16,21,19,"23,717"
Fairland,MD,,23,41,41,"23,681"
Ilchester,MD,,20,0,21,"23,476"
Arnold,MD,21012,15,9,19,"23,106"
Landover,MD,,48,42,30,"23,078"
Greenbelt,MD,,41,34,48,"23,068"
Cumberland,MD,,48,21,34,"20,859"
Cockeysville,MD,,33,22,26,"20,776"
Arbutus,MD,,42,34,33,"20,483"
Lake Shore,MD,,14,0,25,"19,477"
Rosedale,MD,,34,30,27,"19,257"
Camp Springs,MD,,22,27,28,"19,096"
Langley Park,MD,,72,57,51,"18,755"
Westminster,MD,,38,13,33,"18,590"
Ballenger Creek,MD,,27,0,39,"18,274"
Calverton,MD,,27,35,35,"17,724"
Oxon Hill,MD,,23,27,25,"17,722"
Hyattsville,MD,,69,55,73,"17,557"
White Oak,MD,,41,51,30,"17,403"
Glassmanor,MD,,32,50,21,"17,295"
Seabrook,MD,,30,27,39,"17,287"
Redland,MD,,26,39,34,"17,242"
Beltsville,MD,,39,29,42,"16,772"
Ferndale,MD,,39,35,38,"16,746"
Takoma Park,MD,,70,60,68,"16,715"
Boston (the largest city in Massachusetts),MA,02124,83,72,69,"617,594"
Worcester,MA,01604,56,34,35,"181,045"
Springfield,MA,01109,58,40,45,"153,060"
Lowell,MA,01852,67,32,44,"106,519"
Cambridge,MA,02138,90,70,96,"105,162"
New Bedford,MA,02740,65,33,49,"95,072"
Brockton,MA,02301,51,34,43,"93,810"
Quincy,MA,02169,63,47,42,"92,271"
Lynn,MA,01902,70,40,45,"90,329"
Fall River,MA,02720,65,35,48,"88,857"
Newton,MA,02459,57,40,47,"85,146"
Lawrence,MA,01841,72,37,44,"76,377"
Somerville,MA,02145,89,62,90,"75,754"
Framingham,MA,01702,42,24,37,"68,318"
Haverhill,MA,01830,41,25,33,"60,879"
Waltham,MA,02453,57,32,47,"60,632"
Malden,MA,02148,73,53,49,"59,450"
Brookline,MA,02446,81,67,74,"58,732"
Medford,MA,02155,68,48,59,"56,173"
Taunton,MA,02780,30,0,34,"55,874"
Chicopee,MA,01020,42,31,37,"55,298"
Weymouth Town,MA,02190,37,25,34,"53,743"
Revere,MA,02151,67,52,44,"51,755"
Peabody,MA,01960,43,0,35,"51,251"
Methuen Town,MA,01844,38,0,31,"47,255"
Barnstable Town,MA,02601,24,14,32,"45,193"
Pittsfield,MA,,40,20,39,"44,737"
Attleboro,MA,02703,33,23,38,"43,593"
Arlington,MA,02474,64,45,65,"42,844"
Everett,MA,02149,83,51,50,"41,667"
Salem,MA,01970,70,32,54,"41,340"
Westfield,MA,,29,16,36,"41,094"
Leominster,MA,01453,41,22,30,"40,759"
Fitchburg,MA,01420,43,29,33,"40,318"
Holyoke,MA,01040,55,35,41,"39,880"
Beverly,MA,01915,51,0,37,"39,502"
Marlborough,MA,01752,41,0,29,"38,499"
Woburn,MA,01801,46,25,34,"38,120"
Braintree Town,MA,02184,38,33,32,"35,744"
Chelsea,MA,02150,81,58,45,"35,177"
Randolph,MA,02368,35,31,41,"32,112"
Watertown Town,MA,02472,76,46,68,"31,915"
Franklin Town,MA,02038,22,0,25,"31,635"
Lexington,MA,02421,33,0,44,"31,394"
Needham,MA,02492,39,22,35,"28,886"
Gloucester,MA,01930,42,30,29,"28,789"
Norwood,MA,02062,49,26,40,"28,602"
Northampton,MA,01060,44,26,63,"28,549"
Agawam Town,MA,01001,23,0,35,"28,438"
West Springfield Town,MA,01089,35,28,35,"28,391"
Wellesley,MA,02481,37,0,33,"27,982"
Milton,MA,02186,37,38,48,"27,003"
Melrose,MA,02176,62,34,39,"26,983"
Saugus,MA,01906,42,28,29,"26,628"
Danvers,MA,01923,37,0,33,"26,493"
Milford,MA,,42,0,41,"25,055"
Wakefield,MA,01880,49,27,39,"24,932"
Reading,MA,01867,35,0,35,"24,747"
Belmont,MA,02478,60,40,61,"24,729"
Dedham,MA,02026,43,30,35,"24,729"
Burlington,MA,01803,31,0,29,"24,498"
Wilmington,MA,01887,23,0,30,"22,325"
Stoneham,MA,02180,45,23,39,"21,437"
Winchester,MA,01890,40,29,44,"21,374"
Gardner,MA,01440,39,0,25,"20,228"
Marblehead,MA,01945,49,26,36,"19,808"
Amherst Center,MA,01003,52,0,55,"19,065"
Somerset,MA,02726,29,0,34,"18,165"
Winthrop Town,MA,,60,0,41,"17,497"
Greenfield Town,MA,,42,0,38,"17,456"
Newburyport,MA,01950,52,0,44,"17,416"
Southbridge Town,MA,01550,39,0,29,"16,719"
Detroit (the largest city in Michigan),MI,48228,51,36,52,"713,777"
Grand Rapids,MI,49504,56,37,52,"188,040"
Warren,MI,48089,44,0,44,"134,056"
Sterling Heights,MI,48310,33,0,37,"129,699"
Lansing,MI,48915,46,34,55,"114,297"
Ann Arbor,MI,48104,52,49,71,"113,934"
Flint,MI,48503,44,31,44,"102,434"
Dearborn,MI,48126,58,0,47,"98,153"
Livonia,MI,48154,36,0,45,"96,942"
Westland,MI,48185,40,0,45,"84,094"
Troy,MI,48085,29,0,41,"80,980"
Farmington Hills,MI,48336,25,0,36,"79,740"
Kalamazoo,MI,49001,47,0,50,"74,262"
Wyoming,MI,49509,39,0,42,"72,125"
Southfield,MI,48034,34,0,39,"71,739"
Rochester Hills,MI,48309,20,0,32,"70,995"
Taylor,MI,48180,36,0,38,"63,131"
St. Clair Shores,MI,48080,47,0,42,"59,715"
Pontiac,MI,48340,41,0,43,"59,515"
Dearborn Heights,MI,48127,47,0,49,"57,774"
Royal Oak,MI,48073,57,0,53,"57,236"
Novi,MI,48375,19,0,45,"55,224"
Battle Creek,MI,,37,0,38,"52,347"
Saginaw,MI,48602,42,0,47,"51,508"
Kentwood,MI,,25,0,41,"48,707"
East Lansing,MI,48825,54,0,80,"48,579"
Roseville,MI,48066,47,0,45,"47,299"
Portage,MI,49024,20,0,46,"46,292"
Midland,MI,,30,0,47,"41,863"
Muskegon,MI,49440,42,0,50,"38,401"
Lincoln Park,MI,48146,60,0,50,"38,144"
Bay City,MI,,54,0,54,"34,932"
Jackson,MI,,47,0,58,"33,534"
Holland,MI,,47,0,60,"33,051"
Eastpointe,MI,48021,57,0,47,"32,442"
Port Huron,MI,,47,0,47,"30,184"
Southgate,MI,48195,49,0,45,"30,047"
Burton,MI,48529,24,0,33,"29,999"
Madison Heights,MI,48071,57,0,48,"29,694"
Oak Park,MI,48237,45,0,42,"29,319"
Allen Park,MI,48101,51,0,44,"28,210"
Garden City,MI,48135,50,0,44,"27,692"
Mount Pleasant,MI,,54,0,56,"26,016"
Wyandotte,MI,,60,0,49,"25,883"
Forest Hills,MI,,8,0,26,"25,867"
Inkster,MI,48141,33,0,37,"25,369"
Norton Shores,MI,,15,0,31,"23,994"
Romulus,MI,,16,0,32,"23,989"
Holt,MI,,18,0,41,"23,973"
Waverly,MI,,29,0,43,"23,925"
Walker,MI,,22,0,34,"23,537"
Hamtramck,MI,,82,0,54,"22,423"
Auburn Hills,MI,48326,26,0,42,"21,412"
Okemos,MI,,20,0,40,"21,369"
Marquette,MI,,47,0,60,"21,355"
Adrian,MI,,47,0,52,"21,133"
Monroe,MI,,48,0,46,"20,733"
Birmingham,MI,48009,60,0,47,"20,103"
Ferndale,MI,48220,67,13,67,"19,900"
Ypsilanti,MI,,62,43,66,"19,435"
Haslett,MI,,20,0,43,"19,220"
Trenton,MI,,40,0,40,"18,853"
Wayne,MI,,43,0,42,"17,593"
Allendale,MI,,18,0,32,"17,579"
Jenison,MI,,23,0,39,"16,538"
Minneapolis (the largest city in Minnesota),MN,55407,71,55,83,"382,578"
St. Paul,MN,55106,60,46,64,"285,068"
Rochester,MN,,30,0,57,"106,769"
Duluth,MN,55812,36,33,43,"86,265"
Bloomington,MN,55420,29,0,42,"82,893"
Brooklyn Park,MN,55443,28,26,45,"75,781"
Plymouth,MN,55447,18,0,41,"70,576"
St. Cloud,MN,,34,0,49,"65,842"
Eagan,MN,55122,23,18,37,"64,206"
Woodbury,MN,55125,20,0,36,"61,961"
Maple Grove,MN,55311,13,0,46,"61,567"
Coon Rapids,MN,55433,25,18,46,"61,476"
Eden Prairie,MN,55347,18,0,48,"60,797"
Burnsville,MN,55337,32,23,39,"60,306"
Blaine,MN,55434,23,0,40,"57,186"
Lakeville,MN,,14,0,37,"55,954"
Minnetonka,MN,55345,21,15,37,"49,734"
Apple Valley,MN,55124,21,27,38,"49,084"
Edina,MN,55436,37,29,49,"47,941"
St. Louis Park,MN,55426,50,35,64,"45,250"
Mankato,MN,,40,0,51,"39,309"
Moorhead,MN,,34,0,58,"38,065"
Maplewood,MN,,24,31,39,"38,018"
Shakopee,MN,,29,0,53,"37,076"
Richfield,MN,55423,58,46,67,"35,228"
Cottage Grove,MN,55016,16,9,33,"34,589"
Inver Grove Heights,MN,55076,18,26,28,"33,880"
Roseville,MN,55113,35,31,47,"33,660"
Andover,MN,,12,0,39,"30,598"
Brooklyn Center,MN,,31,38,50,"30,104"
Winona,MN,,46,0,54,"27,592"
Oakdale,MN,55128,21,19,36,"27,378"
Fridley,MN,,38,35,47,"27,208"
Savage,MN,55378,22,0,46,"26,911"
Owatonna,MN,,25,0,36,"25,599"
Shoreview,MN,55126,17,16,38,"25,043"
Austin,MN,,37,0,57,"24,718"
White Bear Lake,MN,,36,0,45,"23,797"
Chaska,MN,,22,0,41,"23,770"
Ramsey,MN,,8,0,40,"23,668"
Faribault,MN,,29,0,42,"23,352"
Champlin,MN,55316,20,0,49,"23,089"
Elk River,MN,,15,0,32,"22,974"
Chanhassen,MN,55317,16,0,47,"22,952"
Prior Lake,MN,,14,0,41,"22,796"
Hastings,MN,,30,0,40,"22,172"
Crystal,MN,,44,29,52,"22,151"
Rosemount,MN,,20,0,43,"21,874"
New Brighton,MN,,35,29,44,"21,456"
Farmington,MN,,20,0,40,"21,086"
Golden Valley,MN,,28,30,53,"20,371"
New Hope,MN,,42,27,50,"20,339"
Lino Lakes,MN,,8,0,35,"20,216"
South St. Paul,MN,55075,39,34,39,"20,160"
Northfield,MN,,31,0,50,"20,007"
Willmar,MN,,34,0,52,"19,610"
West St. Paul,MN,,45,36,45,"19,540"
Columbia Heights,MN,,53,38,51,"19,496"
Forest Lake,MN,,18,0,36,"18,375"
Stillwater,MN,,36,0,42,"18,225"
Albert Lea,MN,,28,0,42,"18,016"
Hopkins,MN,,58,32,70,"17,591"
Anoka,MN,,42,22,53,"17,142"
Jackson (the largest city in Mississippi),MS,39212,26,18,33,"173,514"
Gulfport,MS,39501,23,0,37,"67,793"
Southaven,MS,38671,19,0,28,"48,982"
Hattiesburg,MS,,34,0,48,"45,989"
Biloxi,MS,39531,31,0,41,"44,054"
Meridian,MS,,26,0,33,"41,148"
Tupelo,MS,,21,0,29,"34,546"
Greenville,MS,,32,0,39,"34,400"
Olive Branch,MS,,14,0,27,"33,484"
Horn Lake,MS,38637,21,0,31,"26,066"
Clinton,MS,,19,0,28,"25,216"
Pearl,MS,,18,0,30,"25,092"
Madison,MS,,7,0,26,"24,149"
Ridgeland,MS,,31,0,39,"24,047"
Starkville,MS,,29,0,33,"23,888"
Vicksburg,MS,,20,0,25,"23,856"
Columbus,MS,,30,0,39,"23,640"
Pascagoula,MS,39567,33,0,39,"22,392"
Brandon,MS,,11,0,25,"21,705"
Oxford,MS,,22,0,37,"18,916"
Gautier,MS,39553,8,0,28,"18,572"
Laurel,MS,,31,0,33,"18,540"
Clarksdale,MS,,30,0,41,"17,962"
Ocean Springs,MS,,25,0,37,"17,442"
Kansas City (the largest city in Missouri),MO,64114,35,25,35,"459,787"
St. Louis,MO,63116,66,43,58,"319,294"
Springfield,MO,65804,39,0,51,"159,498"
Independence,MO,64055,28,19,28,"116,830"
Columbia,MO,,30,0,40,"108,500"
Lee's Summit,MO,64081,20,0,29,"91,364"
O'Fallon,MO,,22,0,27,"79,329"
St. Joseph,MO,64506,32,0,27,"76,780"
St. Charles,MO,,33,0,30,"65,794"
St. Peters,MO,,27,0,36,"52,575"
Blue Springs,MO,,25,0,31,"52,575"
Florissant,MO,,39,26,39,"52,158"
Joplin,MO,,35,0,44,"50,150"
Chesterfield,MO,63017,19,11,23,"47,484"
Jefferson City,MO,,24,0,23,"43,079"
Cape Girardeau,MO,63703,30,0,31,"37,941"
Oakville,MO,,17,9,18,"36,143"
Wildwood,MO,63040,9,0,17,"35,517"
University City,MO,63130,58,38,52,"35,371"
Ballwin,MO,,20,7,21,"30,404"
Raytown,MO,,28,11,28,"29,526"
Liberty,MO,,23,0,25,"29,149"
Wentzville,MO,,10,0,23,"29,070"
Mehlville,MO,,32,22,28,"28,380"
Kirkwood,MO,,37,22,32,"27,540"
Maryland Heights,MO,63043,26,16,25,"27,472"
Hazelwood,MO,63042,30,20,30,"25,703"
Gladstone,MO,,33,21,33,"25,410"
Grandview,MO,64030,19,0,29,"24,475"
Belton,MO,,22,0,32,"23,116"
Webster Groves,MO,,49,23,40,"22,995"
Sedalia,MO,,43,0,44,"21,387"
Ferguson,MO,63135,33,33,32,"21,203"
Arnold,MO,,21,12,17,"20,808"
Affton,MO,,37,6,35,"20,307"
Spanish Lake,MO,,23,23,27,"19,650"
Rolla,MO,,39,0,47,"19,559"
Raymore,MO,,17,0,26,"19,206"
Old Jamestown,MO,,12,11,22,"19,184"
Nixa,MO,,21,0,31,"19,022"
Warrensburg,MO,,36,0,44,"18,838"
Manchester,MO,,26,6,21,"18,094"
Hannibal,MO,,32,0,28,"17,916"
Creve Coeur,MO,,27,22,24,"17,833"
Ozark,MO,,16,0,24,"17,820"
Kirksville,MO,,35,0,53,"17,505"
Poplar Bluff,MO,,34,0,37,"17,023"
Lemay,MO,,46,28,42,"16,645"
Billings,MT,59102,35,0,47,"104,170"
Missoula,MT,59801,45,34,60,"66,788"
Great Falls,MT,59401,44,0,43,"58,505"
Bozeman,MT,,47,21,62,"37,280"
Butte-Silver Bow,MT,,38,17,45,"33,525"
Helena,MT,,49,0,45,"28,190"
Kalispell,MT,,42,0,46,"19,927"
Omaha,NE,68104,48,24,42,"408,958"
Lincoln,NE,68521,44,24,59,"258,379"
Bellevue,NE,,33,0,29,"50,137"
Grand Island,NE,,39,0,49,"48,520"
Kearney,NE,,42,0,47,"30,787"
Fremont,NE,,46,0,49,"26,397"
Hastings,NE,,38,0,47,"24,907"
North Platte,NE,,40,0,40,"24,733"
Norfolk,NE,,40,0,43,"24,210"
Columbus,NE,,42,0,43,"22,111"
Papillion,NE,,39,0,43,"18,894"
Las Vegas,NV,89108,42,36,46,"583,756"
Henderson,NV,89074,30,25,44,"257,729"
Reno,NV,89509,40,24,52,"225,221"
Paradise,NV,89119,50,38,50,"223,167"
North Las Vegas,NV,89031,34,33,48,"216,961"
Sunrise Manor,NV,89142,36,39,48,"189,372"
Spring Valley,NV,89147,44,38,43,"178,395"
Enterprise,NV,89139,25,0,36,"108,481"
Sparks,NV,89431,41,0,52,"90,264"
Carson City,NV,89701,36,0,55,"55,274"
Whitney,NV,,28,37,45,"38,585"
Pahrump,NV,89060,5,0,31,"36,441"
Winchester,NV,,54,45,53,"27,978"
Summerlin South,NV,,22,28,34,"24,085"
Fernley,NV,,15,0,37,"19,368"
Sun Valley,NV,89433,19,22,31,"19,299"
Elko,NV,,36,0,40,"18,297"
Manchester,NH,03103,51,0,42,"109,565"
Nashua,NH,03060,39,0,35,"86,494"
Concord,NH,03301,35,0,37,"42,695"
Dover,NH,,33,0,34,"29,987"
Rochester,NH,03868,23,0,33,"29,752"
Keene,NH,,45,0,51,"23,409"
Derry,NH,,28,0,35,"22,015"
Portsmouth,NH,,47,0,46,"20,779"
Newark,NJ,07104,76,65,51,"277,140"
Jersey City,NJ,07305,87,70,64,"247,597"
Paterson,NJ,07501,76,48,46,"146,199"
Elizabeth,NJ,07202,80,47,54,"124,969"
Toms River,NJ,08753,29,0,36,"88,791"
Trenton,NJ,08608,68,44,56,"84,913"
Clifton,NJ,07011,62,45,44,"84,136"
Camden,NJ,08105,63,47,56,"77,344"
Passaic,NJ,07055,82,54,50,"69,781"
Union City,NJ,07087,94,80,54,"66,455"
East Orange,NJ,07017,70,57,47,"64,270"
Bayonne,NJ,07002,79,62,51,"63,024"
Vineland,NJ,08361,26,0,35,"60,724"
New Brunswick,NJ,08901,73,35,60,"55,181"
Lakewood,NJ,,46,0,46,"53,805"
Perth Amboy,NJ,08861,73,43,50,"50,814"
Hoboken,NJ,07030,97,74,78,"50,005"
Plainfield,NJ,07062,54,41,48,"49,808"
West New York,NJ,07093,94,72,48,"49,708"
Hackensack,NJ,07601,73,56,49,"43,010"
Sayreville,NJ,08872,31,0,30,"42,704"
Kearny,NJ,07032,74,42,45,"40,684"
Linden,NJ,07036,63,42,51,"40,499"
Atlantic City,NJ,08401,74,46,60,"39,558"
Fort Lee,NJ,07024,77,54,49,"35,345"
Fair Lawn,NJ,07410,60,41,44,"32,457"
Long Branch,NJ,07740,59,26,57,"30,719"
Garfield,NJ,07026,77,44,47,"30,487"
Westfield,NJ,07090,45,31,41,"30,316"
Millville,NJ,,28,0,40,"28,400"
Rahway,NJ,07065,61,39,56,"27,346"
Englewood,NJ,07631,59,46,43,"27,147"
Bergenfield,NJ,07621,63,46,49,"26,764"
Paramus,NJ,07652,37,43,36,"26,342"
Bridgeton,NJ,,39,0,39,"25,349"
Ridgewood,NJ,07450,42,43,41,"24,958"
Lodi,NJ,07644,72,45,45,"24,136"
Old Bridge,NJ,,32,34,34,"23,753"
Cliffside Park,NJ,07010,83,55,45,"23,594"
South Plainfield,NJ,07080,43,23,41,"23,385"
Carteret,NJ,07008,56,31,46,"22,844"
Somerset,NJ,,26,0,39,"22,083"
North Plainfield,NJ,,58,36,41,"21,936"
Summit,NJ,07901,47,33,31,"21,457"
Roselle,NJ,07203,63,44,49,"21,085"
Pleasantville,NJ,08232,52,37,55,"20,249"
Palisades Park,NJ,07650,81,52,40,"19,622"
Elmwood Park,NJ,07407,56,41,43,"19,403"
Woodbridge,NJ,,53,38,41,"19,265"
Hawthorne,NJ,07506,54,26,36,"18,791"
Iselin,NJ,08830,61,35,45,"18,695"
Glassboro,NJ,,37,0,47,"18,579"
Morristown,NJ,,67,32,41,"18,411"
Point Pleasant,NJ,,48,0,51,"18,392"
Dover,NJ,,59,35,33,"18,157"
Rutherford,NJ,07070,67,52,47,"18,061"
Tinton Falls,NJ,,17,0,29,"17,892"
Colonia,NJ,07067,42,27,38,"17,795"
Lindenwold,NJ,,40,28,46,"17,613"
Dumont,NJ,07628,55,47,45,"17,479"
Avenel,NJ,07001,48,31,40,"17,011"
Albuquerque,NM,87120,43,29,61,"545,852"
Las Cruces,NM,,34,0,46,"97,618"
Rio Rancho,NM,,16,0,32,"87,521"
Santa Fe,NM,,39,0,50,"67,947"
Roswell,NM,,33,0,43,"48,366"
Farmington,NM,,31,16,36,"45,877"
South Valley,NM,,22,0,40,"40,976"
Clovis,NM,,33,0,41,"37,775"
Hobbs,NM,,39,0,40,"34,122"
Alamogordo,NM,,24,0,41,"30,403"
Carlsbad,NM,,33,0,46,"26,138"
Gallup,NM,,28,0,33,"21,678"
New York,NY,11368,88,89,69,"8,175,133"
Buffalo,NY,14213,67,47,63,"261,310"
Rochester,NY,14621,61,41,60,"210,565"
Yonkers,NY,10701,69,53,37,"195,976"
Syracuse,NY,13210,57,41,48,"145,170"
Albany,NY,12208,65,52,55,"97,856"
New Rochelle,NY,10801,64,42,47,"77,062"
Cheektowaga,NY,14225,35,28,40,"75,178"
Mount Vernon,NY,10550,73,56,43,"67,292"
Schenectady,NY,12308,62,38,48,"66,135"
Utica,NY,13501,54,0,45,"62,235"
Brentwood,NY,11717,37,0,40,"60,664"
Tonawanda,NY,14223,49,30,48,"58,144"
White Plains,NY,10605,63,50,39,"56,853"
Hempstead,NY,11550,73,52,54,"53,891"
Levittown,NY,11756,53,22,44,"51,881"
Irondequoit,NY,14617,33,25,37,"51,692"
Niagara Falls,NY,14301,51,28,52,"50,193"
Troy,NY,,52,41,42,"50,129"
Binghamton,NY,,55,0,51,"47,376"
West Seneca,NY,14224,26,0,34,"44,711"
West Babylon,NY,11704,45,0,42,"43,213"
Freeport,NY,11520,62,36,48,"42,860"
Hicksville,NY,11801,61,31,49,"41,547"
Coram,NY,11727,17,0,34,"39,113"
East Meadow,NY,11554,54,25,44,"38,132"
Valley Stream,NY,,69,51,49,"37,511"
Brighton,NY,,29,28,45,"36,609"
Commack,NY,11725,31,0,37,"36,124"
Central Islip,NY,11722,35,0,40,"34,450"
Rome,NY,,37,0,42,"33,725"
New City,NY,10956,21,0,25,"33,559"
Long Beach,NY,,68,28,53,"33,275"
Elmont,NY,11003,62,40,48,"33,198"
Huntington Station,NY,,51,0,49,"33,029"
Poughkeepsie,NY,,61,37,51,"32,736"
Oceanside,NY,11572,55,32,46,"32,109"
Centereach,NY,11720,23,0,34,"31,578"
North Tonawanda,NY,,39,0,48,"31,568"
Spring Valley,NY,,51,20,38,"31,347"
Jamestown,NY,,52,0,40,"31,146"
Ithaca,NY,14853,72,0,58,"30,014"
Franklin Square,NY,11010,69,37,49,"29,320"
Elmira,NY,,51,0,51,"29,200"
Port Chester,NY,,76,42,42,"28,967"
Newburgh,NY,,67,0,41,"28,866"
West Islip,NY,11795,35,0,37,"28,335"
Middletown,NY,,57,0,35,"28,086"
Shirley,NY,11967,28,0,35,"27,854"
Deer Park,NY,11729,44,0,42,"27,745"
Auburn,NY,,52,28,40,"27,687"
Harrison,NY,10528,36,31,29,"27,472"
Lindenhurst,NY,,55,0,44,"27,253"
Holbrook,NY,11741,34,0,38,"27,195"
Watertown,NY,,51,0,43,"27,023"
Glen Cove,NY,11542,52,21,35,"26,964"
Dix Hills,NY,,13,0,22,"26,892"
Saratoga Springs,NY,,41,23,42,"26,586"
Smithtown,NY,,23,0,29,"26,470"
Bay Shore,NY,,48,0,47,"26,337"
Plainview,NY,11803,48,17,44,"26,217"
Ossining,NY,,63,35,34,"25,060"
Uniondale,NY,11553,61,38,50,"24,759"
Medford,NY,,20,0,34,"24,142"
Baldwin,NY,,63,35,50,"24,033"
Rockville Centre,NY,11570,61,39,55,"24,023"
Kingston,NY,,54,0,50,"23,893"
Peekskill,NY,10566,60,32,29,"23,583"
Copiague,NY,11726,59,0,46,"22,993"
East Patchogue,NY,,26,0,35,"22,469"
Garden City,NY,,53,45,45,"22,371"
Merrick,NY,,56,25,45,"22,097"
Massapequa,NY,,51,23,45,"21,685"
Lockport,NY,,42,0,49,"21,165"
Hauppauge,NY,11788,26,0,35,"20,882"
Rotterdam,NY,,41,0,41,"20,652"
East Northport,NY,,40,0,37,"20,217"
Kiryas Joel,NY,,25,0,26,"20,175"
Lake Ronkonkoma,NY,,40,0,40,"20,155"
Plattsburgh,NY,12903,55,0,53,"19,989"
North Bellmore,NY,,57,18,44,"19,941"
Selden,NY,,37,0,38,"19,851"
Holtsville,NY,11742,24,0,34,"19,714"
Eastchester,NY,10709,63,39,43,"19,554"
Lynbrook,NY,11563,71,49,57,"19,427"
Cortland,NY,,52,0,44,"19,204"
Ronkonkoma,NY,,26,0,33,"19,082"
East Massapequa,NY,,51,27,45,"19,069"
Melville,NY,11747,20,0,28,"18,985"
North Bay Shore,NY,,39,0,48,"18,944"
Mamaroneck,NY,,66,39,49,"18,929"
Wantagh,NY,,48,27,44,"18,871"
West Hempstead,NY,,67,41,51,"18,862"
Syosset,NY,,40,0,41,"18,829"
Mineola,NY,11501,78,51,50,"18,799"
Islip,NY,11751,42,0,42,"18,689"
Amsterdam,NY,,40,0,25,"18,620"
Monsey,NY,,35,0,31,"18,412"
Oswego,NY,,59,0,41,"18,142"
Lackawanna,NY,14218,39,27,46,"18,141"
Huntington,NY,,36,0,28,"18,046"
North Massapequa,NY,,49,14,45,"17,886"
Nanuet,NY,,34,0,30,"17,882"
North Amityville,NY,,44,0,42,"17,862"
North Babylon,NY,11703,47,0,41,"17,509"
Kings Park,NY,11754,27,0,31,"17,282"
Scarsdale,NY,,40,35,36,"17,166"
Woodmere,NY,,46,0,44,"17,121"
Massapequa Park,NY,,47,28,48,"17,008"
Sayville,NY,,34,0,37,"16,853"
North Valley Stream,NY,,62,38,47,"16,628"
Charlotte,NC,28269,26,27,31,"731,424"
Raleigh,NC,27612,31,29,39,"403,892"
Greensboro,NC,27401,29,0,32,"269,666"
Winston-Salem,NC,27106,22,0,29,"229,617"
Durham,NC,27701,30,28,38,"228,330"
Fayetteville,NC,28314,21,0,30,"200,564"
Cary,NC,27511,28,16,39,"135,234"
Wilmington,NC,28403,35,20,51,"106,476"
High Point,NC,27260,23,0,31,"104,371"
Greenville,NC,,31,0,43,"84,554"
Asheville,NC,28801,37,28,33,"83,393"
Concord,NC,,18,11,24,"79,066"
Gastonia,NC,,23,0,27,"71,741"
Jacksonville,NC,28543,24,0,40,"70,145"
Rocky Mount,NC,,22,16,33,"57,477"
Chapel Hill,NC,,34,37,50,"57,233"
Burlington,NC,,33,0,35,"49,963"
Wilson,NC,,31,0,37,"49,167"
Huntersville,NC,,16,0,28,"46,773"
Kannapolis,NC,,22,20,26,"42,625"
Hickory,NC,,28,0,26,"40,010"
Apex,NC,,26,0,27,"37,476"
Goldsboro,NC,,25,0,36,"36,437"
Salisbury,NC,,27,0,30,"33,662"
Indian Trail,NC,,10,0,25,"33,518"
Monroe,NC,,23,0,30,"32,797"
Mooresville,NC,,20,0,26,"32,711"
Wake Forest,NC,,20,0,25,"30,117"
New Bern,NC,,27,0,42,"29,524"
Sanford,NC,,22,0,32,"28,094"
Matthews,NC,,16,0,24,"27,198"
Thomasville,NC,,26,0,25,"26,757"
Garner,NC,,23,0,25,"25,745"
Asheboro,NC,,24,0,26,"25,012"
Cornelius,NC,,26,0,32,"24,866"
Holly Springs,NC,,19,0,24,"24,661"
Statesville,NC,,31,0,31,"24,532"
Kernersville,NC,,20,0,23,"23,123"
Mint Hill,NC,,10,0,21,"22,722"
Kinston,NC,,31,0,38,"21,677"
Lumberton,NC,,29,0,36,"21,542"
Havelock,NC,,25,0,41,"20,735"
Shelby,NC,,28,0,31,"20,323"
Carrboro,NC,27510,29,0,58,"19,582"
Lexington,NC,,33,0,27,"18,931"
Elizabeth City,NC,,36,0,49,"18,683"
Clemmons,NC,,12,0,20,"18,627"
Morrisville,NC,,27,0,41,"18,576"
Lenoir,NC,,21,0,25,"18,228"
Fuquay-Varina,NC,,22,0,29,"17,937"
Boone,NC,,49,0,22,"17,122"
Morganton,NC,,26,0,24,"16,918"
Fargo,ND,58103,45,24,49,"105,549"
Bismarck,ND,,35,0,38,"61,272"
Grand Forks,ND,,47,0,62,"52,838"
Minot,ND,,37,0,34,"40,888"
West Fargo,ND,,29,0,37,"25,830"
Mandan,ND,,25,0,29,"18,331"
Dickinson,ND,,35,0,36,"17,787"
Columbus,OH,43229,41,30,48,"787,033"
Cleveland,OH,44102,57,44,52,"396,815"
Cincinnati,OH,45205,49,44,36,"296,943"
Toledo,OH,43613,46,0,46,"287,208"
Akron,OH,44310,48,30,43,"199,110"
Dayton,OH,45406,45,0,47,"141,527"
Parma,OH,44134,42,30,38,"81,601"
Canton,OH,44703,48,0,43,"73,007"
Youngstown,OH,44509,34,0,34,"66,982"
Lorain,OH,44052,38,0,40,"64,097"
Hamilton,OH,45015,42,13,41,"62,477"
Springfield,OH,,42,0,46,"60,608"
Kettering,OH,,41,0,43,"56,163"
Elyria,OH,,29,0,39,"54,533"
Lakewood,OH,44107,70,41,64,"52,131"
Cuyahoga Falls,OH,44221,46,0,41,"49,652"
Euclid,OH,44123,37,39,40,"48,920"
