City,State,Zip Code,Walk Score, Transit Score, Bike Score, Population
El Cajon,CA,92020,61,37,45,"99,478"
Rialto,CA,92376,41,27,43,"99,171"
San Mateo,CA,94403,68,39,65,"97,207"
Compton,CA,,65,0,60,"96,455"
Clovis,CA,93612,37,0,51,"95,631"
South Gate,CA,90280,70,0,55,"94,396"
Vista,CA,92083,46,33,30,"93,834"
Mission Viejo,CA,92691,36,0,36,"93,305"
Vacaville,CA,,36,20,46,"92,428"
Arden-Arcade,CA,95821,55,33,64,"92,186"
Carson,CA,90745,55,0,51,"91,714"
Hesperia,CA,,16,0,32,"90,173"
Redding,CA,,27,19,42,"89,861"
Santa Monica,CA,90405,83,60,88,"89,736"
Westminster,CA,92683,65,0,58,"89,701"
Santa Barbara,CA,93101,61,0,68,"88,410"
Chico,CA,95926,49,0,69,"86,187"
Whittier,CA,90602,64,0,52,"85,331"
Newport Beach,CA,92660,49,27,53,"85,186"
San Leandro,CA,94577,65,46,63,"84,950"
Hawthorne,CA,90250,72,45,59,"84,293"
San Marcos,CA,92078,33,0,30,"83,781"
Citrus Heights,CA,95610,43,0,46,"83,301"
Alhambra,CA,91801,71,0,49,"83,089"
Tracy,CA,95376,43,0,46,"82,922"
Livermore,CA,,41,0,66,"80,968"
Buena Park,CA,90620,57,36,54,"80,530"
Lakewood,CA,90712,58,0,62,"80,048"
Merced,CA,,42,0,54,"78,958"
Hemet,CA,,35,0,43,"78,657"
Chino,CA,,44,20,46,"77,983"
Menifee,CA,92586,16,0,29,"77,519"
Lake Forest,CA,92630,41,0,46,"77,264"
Napa,CA,,51,0,60,"76,915"
Redwood City,CA,94061,62,0,67,"76,815"
Bellflower,CA,90706,66,0,60,"76,616"
Indio,CA,,32,0,43,"76,036"
Tustin,CA,92780,51,32,59,"75,540"
Baldwin Park,CA,,55,0,50,"75,390"
Chino Hills,CA,91709,23,0,20,"74,799"
Mountain View,CA,94040,66,41,92,"74,066"
Alameda,CA,94501,68,42,77,"73,812"
Upland,CA,91786,48,21,47,"73,732"
Folsom,CA,95630,31,0,54,"72,203"
San Ramon,CA,,24,0,37,"72,148"
Pleasanton,CA,,42,0,58,"70,285"
Lynwood,CA,90262,70,0,56,"69,772"
Union City,CA,,47,0,53,"69,516"
Apple Valley,CA,,13,19,31,"69,135"
Redlands,CA,,40,0,53,"68,747"
Turlock,CA,,46,29,45,"68,549"
Perris,CA,,24,0,33,"68,386"
Manteca,CA,,42,0,45,"67,096"
Milpitas,CA,,54,36,66,"66,790"
Redondo Beach,CA,90278,75,0,64,"66,748"
Davis,CA,,50,38,90,"65,622"
Camarillo,CA,,43,0,46,"65,201"
Yuba City,CA,,43,0,54,"64,925"
Rancho Cordova,CA,,43,33,60,"64,776"
Palo Alto,CA,94306,61,37,91,"64,403"
Yorba Linda,CA,92887,28,0,34,"64,234"
Walnut Creek,CA,94596,41,25,49,"64,173"
South San Francisco,CA,94080,63,0,42,"63,632"
San Clemente,CA,92672,34,0,31,"63,522"
Florence-Graham,CA,,75,60,56,"63,387"
Pittsburg,CA,,39,0,40,"63,264"
Laguna Niguel,CA,92677,33,0,31,"62,979"
Pico Rivera,CA,90660,59,0,59,"62,942"
Montebello,CA,90640,66,0,53,"62,500"
Lodi,CA,,58,13,53,"62,134"
Carmichael,CA,95608,46,0,54,"61,762"
Madera,CA,,42,0,44,"61,416"
Castro Valley,CA,94546,40,27,31,"61,388"
Monterey Park,CA,91754,64,0,38,"60,269"
La Habra,CA,,63,0,46,"60,239"
Santa Cruz,CA,95064,63,35,86,"59,946"
Encinitas,CA,92024,43,0,35,"59,518"
Tulare,CA,,40,0,55,"59,278"
Gardena,CA,90249,75,43,56,"58,829"
National City,CA,91950,69,47,49,"58,582"
Cupertino,CA,,48,32,65,"58,302"
Huntington Park,CA,,83,55,58,"58,114"
Petaluma,CA,,47,29,54,"57,941"
San Rafael,CA,94901,53,36,45,"57,713"
South Whittier,CA,,55,0,47,"57,156"
La Mesa,CA,91942,60,42,35,"57,065"
Rocklin,CA,95765,34,0,51,"56,974"
Arcadia,CA,91007,54,0,47,"56,364"
Diamond Bar,CA,,30,0,16,"55,544"
Woodland,CA,,50,22,65,"55,468"
Fountain Valley,CA,92708,56,32,66,"55,313"
Porterville,CA,,40,0,47,"54,165"
Paramount,CA,90723,64,0,56,"54,098"
Hacienda Heights,CA,91745,35,0,27,"54,038"
Hanford,CA,,36,20,46,"53,967"
Rosemead,CA,,65,43,51,"53,764"
Eastvale,CA,,24,0,33,"53,668"
Santee,CA,,35,0,31,"53,413"
Highland,CA,,35,26,36,"53,104"
Delano,CA,,35,0,37,"53,041"
Colton,CA,,43,26,45,"52,154"
Novato,CA,,36,30,37,"51,904"
Lake Elsinore,CA,,25,0,24,"51,821"
Brentwood,CA,,38,0,50,"51,481"
Yucaipa,CA,,25,0,27,"51,367"
Cathedral City,CA,92234,38,0,43,"51,200"
Watsonville,CA,95019,69,32,70,"51,199"
Placentia,CA,92870,50,29,46,"50,533"
Glendora,CA,91741,47,32,42,"50,073"
Cerritos,CA,90703,54,0,57,"49,041"
