GeoFips,GeoName,LineCode,Description,2023
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",99.004
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",1,RPPs: All items,97.170
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2,"  RPPs: Goods",98.522
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",91.437
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",109.156
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",97.931
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",1,RPPs: All items,88.857
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2,"  RPPs: Goods",95.052
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",58.244
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",89.829
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",98.684
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1,RPPs: All items,91.030
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2,"  RPPs: Goods",95.793
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",67.775
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",88.211
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",97.839
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",1,RPPs: All items,97.620
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",2,"  RPPs: Goods",91.935
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",126.357
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",89.538
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",95.265
12540,"Bakersfield, CA (Metropolitan Statistical Area)",1,RPPs: All items,102.247
12540,"Bakersfield, CA (Metropolitan Statistical Area)",2,"  RPPs: Goods",104.560
12540,"Bakersfield, CA (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",88.029
12540,"Bakersfield, CA (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",142.746
12540,"Bakersfield, CA (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",104.294
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",1,RPPs: All items,102.672
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2,"  RPPs: Goods",102.191
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",116.912
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",110.284
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",98.465
12620,"Bangor, ME (Metropolitan Statistical Area)",1,RPPs: All items,91.466
12620,"Bangor, ME (Metropolitan Statistical Area)",2,"  RPPs: Goods",96.562
12620,"Bangor, ME (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",56.227
12620,"Bangor, ME (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",144.817
12620,"Bangor, ME (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",103.025
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",1,RPPs: All items,105.815
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",2,"  RPPs: Goods",97.519
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",124.199
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",158.776
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",101.580
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",1,RPPs: All items,90.802
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",2,"  RPPs: Goods",92.036
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",77.183
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",76.250
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",95.340
12980,"Battle Creek, MI (Metropolitan Statistical Area)",1,RPPs: All items,88.228
12980,"Battle Creek, MI (Metropolitan Statistical Area)",2,"  RPPs: Goods",93.313
12980,"Battle Creek, MI (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",56.887
12980,"Battle Creek, MI (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",96.687
12980,"Battle Creek, MI (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",97.880
13020,"Bay City, MI (Metropolitan Statistical Area)",1,RPPs: All items,90.565
13020,"Bay City, MI (Metropolitan Statistical Area)",2,"  RPPs: Goods",93.313
13020,"Bay City, MI (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",65.549
13020,"Bay City, MI (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",96.244
13020,"Bay City, MI (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",97.880
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",1,RPPs: All items,90.238
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",2,"  RPPs: Goods",91.935
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",76.059
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",89.413
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",95.265
13220,"Beckley, WV (Metropolitan Statistical Area)",1,RPPs: All items,89.644
13220,"Beckley, WV (Metropolitan Statistical Area)",2,"  RPPs: Goods",95.431
13220,"Beckley, WV (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",58.732
13220,"Beckley, WV (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",87.968
13220,"Beckley, WV (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",99.402
13380,"Bellingham, WA (Metropolitan Statistical Area)",1,RPPs: All items,104.139
13380,"Bellingham, WA (Metropolitan Statistical Area)",2,"  RPPs: Goods",104.775
13380,"Bellingham, WA (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",109.632
13380,"Bellingham, WA (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",87.022
13380,"Bellingham, WA (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",102.889
13460,"Bend, OR (Metropolitan Statistical Area)",1,RPPs: All items,105.810
13460,"Bend, OR (Metropolitan Statistical Area)",2,"  RPPs: Goods",104.556
13460,"Bend, OR (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",114.951
13460,"Bend, OR (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",91.093
13460,"Bend, OR (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",104.199
13740,"Billings, MT (Metropolitan Statistical Area)",1,RPPs: All items,89.613
13740,"Billings, MT (Metropolitan Statistical Area)",2,"  RPPs: Goods",94.290
13740,"Billings, MT (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",72.981
13740,"Billings, MT (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",72.390
13740,"Billings, MT (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",93.451
13780,"Binghamton, NY (Metropolitan Statistical Area)",1,RPPs: All items,91.630
13780,"Binghamton, NY (Metropolitan Statistical Area)",2,"  RPPs: Goods",98.137
13780,"Binghamton, NY (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",66.071
13780,"Binghamton, NY (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",131.530
13780,"Binghamton, NY (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",97.604
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1,RPPs: All items,92.569
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",2,"  RPPs: Goods",95.052
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",72.092
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",90.676
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",98.684
13900,"Bismarck, ND (Metropolitan Statistical Area)",1,RPPs: All items,89.648
13900,"Bismarck, ND (Metropolitan Statistical Area)",2,"  RPPs: Goods",95.919
13900,"Bismarck, ND (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",75.826
13900,"Bismarck, ND (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",74.536
13900,"Bismarck, ND (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",90.401
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)",1,RPPs: All items,90.657
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)",2,"  RPPs: Goods",96.729
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",67.418
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",88.330
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",98.379
14010,"Bloomington, IL (Metropolitan Statistical Area)",1,RPPs: All items,92.002
14010,"Bloomington, IL (Metropolitan Statistical Area)",2,"  RPPs: Goods",92.491
14010,"Bloomington, IL (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",73.529
14010,"Bloomington, IL (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",86.361
14010,"Bloomington, IL (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",98.195
